# Brazillian departments mapping from ISO Code to full name:
BR-AC	Acre
BR-AL	Alagoas
BR-AP	Amapá
BR-AM	Amazonas
BR-BA	Bahia
BR-CE	Ceará
BR-DF	Distrito Federal
BR-ES	Espírito Santo
BR-GO	Goiás
BR-MA	Maranhão
BR-MT	Mato Grosso
BR-MS	Mato Grosso do Sul
BR-MG	Minas Gerais
BR-PA	Pará
BR-PB	Paraíba
BR-PR	Paraná
BR-PE	Pernambuco
BR-PI	Piauí
BR-RJ	Rio de Janeiro
BR-RS	Rio Grande do Sul
BR-RN	Rio Grande do Norte
BR-SP	São Paulo
BR-SC	Santa Catarina
BR-RO	Rondônia
BR-SE	Sergipe
BR-RR	Roraima
BR-TO	Tocantins
