ALBERTA	CA-AB
BRITISH COLUMBIA	CA-BC
BRITISH COLUMBI	CA-BC
MANITOBA	CA-MB
NEW BRUNSWICK	CA-NB
NEW-BRUNSWICK	CA-NB
NOUVEAU-BRUNSWICK	CA-NB
NOUVEAU BRUNSWICK	CA-NB
NEWFOUNDLAND AND LABRADOR	CA-NL
LABRADOR	CA-NL
NEWFOUNDLAND	CA-NL
NEWFOUNLAND	CA-NL
NEWFOUNDLAND & LABRADOR	CA-NL
NEWFOUNDLAND/LABRADOR	CA-NL
TERRE-NEUVE & LABRADOR	CA-NL
TERRE-NEUVE	CA-NL
TERRE NEUVE	CA-NL
NOVA SCOTIA	CA-NS
ONTARIO	CA-ON
ONTARIIO	CA-ON
PRINCE EDWARD ISLAND	CA-PE
QUEBEC	CA-QC
QUEBEQ	CA-QC
QUE	CA-QC
QUÉ	CA-QC
SASKATCHEWAN	CA-SK
SAKATCHEWAN	CA-SK
NORTHWEST TERRITORIES	CA-NT
NORTHWES TERRITORIES	CA-NT
THE NORTHWEST TERRITORIES	CA-NT
NOTHWEST TERRITORIES	CA-NT
NORTH WEST TERRITORIES	CA-NT
NORTHWWEST TERRITORIES	CA-NT
NORTHWEST TERRITIORIES	CA-NT
NUNAVUT	CA-NU
YUKON	CA-YT
YUKON TERRITORY	CA-YT
